FID	NAME	VALUE
41	LotName	RSD000NH-05
41	SerialStatus	0
41	Lane	1
41	Code	YEP0PTD000NH|00|A|101634201647|01
41	Serial	297159
41	LotNumber	1
41	Rev	87
41	Stage	1
41	PlanID	0
41	ProductID	2197
42	Stage	1
42	PlanID	0
42	ProductID	2197
42	SerialStatus	0
42	Code	YEP0PTD000NH|00|A|101634201646|01
42	Lane	2
42	LotNumber	1
42	Serial	297161
42	Rev	87
42	LotName	RSD000NH-05
42	BcrStatus	0
42	Output	3
43	BcrStatus	0
43	Output	3
43	LotName	RSD000NH-05
43	SerialStatus	0
43	Code	YEP0PTD000NH|00|A|101634201645|01
43	Lane	1
43	LotNumber	1
43	Rev	87
43	Serial	297163
43	Stage	1
43	ProductID	2197
43	PlanID	0
44	Lane	2
44	Code	YEP0PTD000NH|00|A|101634201644|01
44	Serial	297165
44	LotNumber	1
44	Rev	87
44	SerialStatus	0
44	Stage	1
44	ProductID	2197
44	PlanID	0
44	Output	3
44	BcrStatus	0
44	LotName	RSD000NH-05
45	Stage	1
45	ProductID	2197
45	PlanID	0
45	SerialStatus	0
45	Lane	1
45	Code	YEP0PTD000NH|00|A|101634201643|01
45	Serial	297167
45	LotNumber	1
45	Rev	87
45	LotName	RSD000NH-05
45	BcrStatus	0
45	Output	3
46	BcrStatus	0
46	Output	3
46	LotName	RSD000NH-05
46	SerialStatus	0
46	Code	YEP0PTD000NH|00|A|101634201642|01
46	Lane	2
46	LotNumber	1
46	Serial	297169
46	Rev	87
46	Stage	1
46	PlanID	0
46	ProductID	2197
47	LotName	RSD000NH-05
47	Output	3
47	BcrStatus	0
47	ProductID	2197
47	PlanID	0
47	Stage	1
47	LotNumber	1
47	Serial	297171
47	Rev	87
47	Code	YEP0PTD000NH|00|A|101634201641|01
47	Lane	1
47	SerialStatus	0
48	Stage	1
48	ProductID	2197
48	PlanID	0
48	SerialStatus	0
48	Code	YEP0PTD000NH|00|A|101634201640|01
48	Lane	2
48	Rev	87
48	LotNumber	1
48	Serial	297173
48	LotName	RSD000NH-05
