FNAME	FID
20161208002741581+-+01+-+1+-+2+-+297209+-+YEP0PTD000NH|00|A|101634201688|01+-+3+-++-+YEP0PTD000NH|00|A|101634201688|01.U01	66
20161208001054107+-+01+-+1+-+2+-+297121+-+YEP0PTD000NH|00|A|101634201613|01+-+3+-++-+YEP0PTD000NH|00|A|101634201613|01.U01	22
20161208002039188+-+01+-+1+-+2+-+297169+-+YEP0PTD000NH|00|A|101634201642|01+-+3+-++-+YEP0PTD000NH|00|A|101634201642|01.U01	46
20161208003024462+-+01+-+1+-+1+-+297219+-+YEP0PTD000NH|00|A|101634201693|01+-+3+-++-+YEP0PTD000NH|00|A|101634201693|01.U01	71
20161208003346340+-+01+-+1+-+2+-+297221+-+YEP0PTD000NH|00|A|101634201798|01+-+3+-++-+YEP0PTD000NH|00|A|101634201798|01.U01	72
20161208000048381+-+01+-+1+-+1+-+297083+-+YEP0PTD000NH|00|A|101634201679|01+-+3+-++-+YEP0PTD000NH|00|A|101634201679|01.U01	3
20161208000418178+-+01+-+1+-+1+-+297103+-+YEP0PTD000NH|00|A|101634201661|01+-+3+-++-+YEP0PTD000NH|00|A|101634201661|01.U01	13
20161208002454366+-+01+-+1+-+2+-+297193+-+YEP0PTD000NH|00|A|101634201701|01+-+3+-++-+YEP0PTD000NH|00|A|101634201701|01.U01	58
20161208013327447+-+01+-+1+-+1+-+297261+-+YEP0PTD000SH|00|A|101634201884|01+-+5+-++-+YEP0PTD000SH|00|A|101634201884|01.U01	95
20161208013445917+-+01+-+1+-+2+-+297267+-+YEP0PTD000SH|00|A|101634201887|01+-+3+-++-+YEP0PTD000SH|00|A|101634201887|01.U01	99
20161208000847976+-+01+-+1+-+2+-+297109+-+YEP0PTD000NH|00|A|101634201658|01+-+3+-++-+YEP0PTD000NH|00|A|101634201658|01.U01	16
20161208013343888+-+01+-+1+-+1+-+297261+-+YEP0PTD000SH|00|A|101634201884|01+-+3+-++-+YEP0PTD000SH|00|A|101634201884|01.U01	96
20161208001837990+-+01+-+1+-+2+-+297165+-+YEP0PTD000NH|00|A|101634201644|01+-+3+-++-+YEP0PTD000NH|00|A|101634201644|01.U01	44
20161208001259275+-+01+-+1+-+2+-+297133+-+YEP0PTD000NH|00|A|101634201607|01+-+3+-++-+YEP0PTD000NH|00|A|101634201607|01.U01	28
20161208002141371+-+01+-+1+-+1+-+297175+-+YEP0PTD000NH|00|A|101634201639|01+-+3+-++-+YEP0PTD000NH|00|A|101634201639|01.U01	49
20161208002823367+-+01+-+1+-+2+-+297213+-+YEP0PTD000NH|00|A|101634201690|01+-+3+-++-+YEP0PTD000NH|00|A|101634201690|01.U01	68
20161208001135874+-+01+-+1+-+2+-+297125+-+YEP0PTD000NH|00|A|101634201611|01+-+3+-++-+YEP0PTD000NH|00|A|101634201611|01.U01	24
20161208000335409+-+01+-+1+-+1+-+297099+-+YEP0PTD000NH|00|A|101634201663|01+-+3+-++-+YEP0PTD000NH|00|A|101634201663|01.U01	11
20161208012042517+-+01+-+1+-+1+-+297241+-+YEP0PTD000SH|00|A|101634201874|01+-+3+-++-+YEP0PTD000SH|00|A|101634201874|01.U01	84
20161208001611081+-+01+-+1+-+1+-+297151+-+YEP0PTD000NH|00|A|101634201651|01+-+3+-++-+YEP0PTD000NH|00|A|101634201651|01.U01	37
20161208000929813+-+01+-+1+-+2+-+297113+-+YEP0PTD000NH|00|A|101634201656|01+-+3+-++-+YEP0PTD000NH|00|A|101634201656|01.U01	18
20161208001156062+-+01+-+1+-+1+-+297127+-+YEP0PTD000NH|00|A|101634201610|01+-+3+-++-+YEP0PTD000NH|00|A|101634201610|01.U01	25
20161208000130185+-+01+-+1+-+1+-+297087+-+YEP0PTD000NH|00|A|101634201682|01+-+3+-++-+YEP0PTD000NH|00|A|101634201682|01.U01	5
20161208012207673+-+01+-+1+-+1+-+297249+-+YEP0PTD000SH|00|A|101634201878|01+-+3+-++-+YEP0PTD000SH|00|A|101634201878|01.U01	88
20161208001549576+-+01+-+1+-+2+-+297149+-+YEP0PTD000NH|00|A|101634201652|01+-+3+-++-+YEP0PTD000NH|00|A|101634201652|01.U01	36
20161208004316475+-+01+-+1+-+2+-+0+-++-+13+-++-+0.U01	74
20161208011938080+-+01+-+1+-+2+-+297235+-+YEP0PTD000SH|00|A|101634201871|01+-+3+-++-+YEP0PTD000SH|00|A|101634201871|01.U01	81
20161208000006564+-+01+-+1+-+1+-+297079+-+YEP0PTD000NH|00|A|101634201678|01+-+3+-++-+YEP0PTD000NH|00|A|101634201678|01.U01	1
20161208000439678+-+01+-+1+-+2+-+297105+-+YEP0PTD000NH|00|A|101634201660|01+-+3+-++-+YEP0PTD000NH|00|A|101634201660|01.U01	14
20161208011653086+-+01+-+1+-+2+-+297223+-+YEP0PTD000SH|00|A|101634201866|01+-+3+-++-+YEP0PTD000SH|00|A|101634201866|01.U01	75
20161208002202908+-+01+-+1+-+2+-+297177+-+YEP0PTD000NH|00|A|101634201638|01+-+3+-++-+YEP0PTD000NH|00|A|101634201638|01.U01	50
20161208001525561+-+01+-+1+-+1+-+297147+-+YEP0PTD000NH|00|A|101634201653|01+-+3+-++-+YEP0PTD000NH|00|A|101634201653|01.U01	35
